Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.621608461410925e-8,1.6058418691987657e-8,1.636476739052128e-8,5.386769430881454e-10,4.228164230608416e-10,7.594625232483358e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6152955098451084e-8,1.6110287869682938e-8,1.619113557958963e-8,1.3529914192808497e-10,7.49737276945545e-11,2.1426711039304174e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.617830355153327e-8,1.6121632687520532e-8,1.6246332182485164e-8,2.0832437694170752e-10,1.2674895544261127e-10,3.2112792663685764e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6119908570937713e-8,1.6072894282197983e-8,1.6173519704821153e-8,1.6375217026031558e-10,1.0109403382313392e-10,2.6502957385941656e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6100275726947167e-8,1.6059958825084827e-8,1.6155647965337486e-8,1.7000705091278138e-10,1.166253309898736e-10,2.640026875540447e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6169372801005333e-8,1.6100585357440882e-8,1.6262714051821637e-8,2.8864699660421245e-10,1.6032794125953425e-10,4.621839258913832e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6122211540533862e-8,1.605144045353975e-8,1.6196762723685978e-8,2.44038413396844e-10,1.7859010975184657e-10,3.8239334432058437e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.606873188464025e-8,1.600290329380154e-8,1.6132468341361992e-8,2.115778212190255e-10,1.508535288358822e-10,2.9296616189037036e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.620299587902721e-8,1.6154668402028818e-8,1.6252649045433362e-8,1.634514688757583e-10,1.0823227335719675e-10,2.876064909746767e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6543090923831244e-8,1.6453696863544205e-8,1.6703543329576776e-8,3.703920984496904e-10,2.652707509006366e-10,5.685500177741325e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6145036155628912e-8,1.6109619526895287e-8,1.6228986449261694e-8,1.6191113485782552e-10,7.226467769296383e-11,3.024347171321607e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6036216389783236e-8,1.600068518235917e-8,1.6090829290607416e-8,1.6070042896843048e-10,9.215238306315367e-11,2.6755272292764504e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6169298022836197e-8,1.6102600992739807e-8,1.626352261171413e-8,2.2979373366378677e-10,1.5540033416041397e-10,3.298290470324425e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6282676495110468e-8,1.6171075617548316e-8,1.6366155110458254e-8,3.232462955771027e-10,2.0851455607073343e-10,5.485627782146658e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.607386300925342e-8,1.6036622533923084e-8,1.613224470996597e-8,1.525412457959981e-10,1.0245419177589022e-10,2.3239461485478213e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6063568014985173e-8,1.595831867773594e-8,1.6138633581371954e-8,3.262951621238642e-10,2.295787633934985e-10,4.709445310377184e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6182308437547963e-8,1.6102178984253004e-8,1.6234586974348458e-8,2.0441701239079984e-10,1.278993072761426e-10,3.1280904372660013e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.617794383509227e-8,1.6154893009401388e-8,1.6209376309068304e-8,8.757700688247828e-11,6.054903998754451e-11,1.3329913188894414e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6191899914652853e-8,1.614900261353604e-8,1.6250012268912086e-8,1.827834086526296e-10,1.1366452500503676e-10,2.6556312348475326e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Equilibrium Convergence/,1.6012285020340083e-8,1.596499546311118e-8,1.6072149459871324e-8,1.7902022537723165e-10,1.2213866853575432e-10,2.9333326460906666e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
